公司代码,公司简称,公司全称
000960,锡业股份,云南锡业股份有限公司
000961,中南建设,江苏中南建设集团股份有限公司
000962,*ST东钽,宁夏东方钽业股份有限公司
000963,华东医药,华东医药股份有限公司
000965,天保基建,天津天保基建股份有限公司
000966,长源电力,国电长源电力股份有限公司
000967,盈峰环境,盈峰环境科技集团股份有限公司
000968,*ST煤气,太原煤气化股份有限公司
000969,安泰科技,安泰科技股份有限公司
000970,中科三环,北京中科三环高技术股份有限公司
000971,高升控股,高升控股股份有限公司
000972,中基健康,中基健康产业股份有限公司
000973,佛塑科技,佛山佛塑科技集团股份有限公司
000975,银泰资源,银泰资源股份有限公司
000976,春晖股份,广东开平春晖股份有限公司
000977,浪潮信息,浪潮电子信息产业股份有限公司
000978,桂林旅游,桂林旅游股份有限公司
000979,中弘股份,中弘控股股份有限公司
000980,金马股份,黄山金马股份有限公司
000981,银亿股份,银亿房地产股份有限公司
000982,中银绒业,宁夏中银绒业股份有限公司
000983,西山煤电,山西西山煤电股份有限公司
000985,大庆华科,大庆华科股份有限公司
000986,粤华包Ｂ,佛山华新包装股份有限公司
000987,广州友谊,广州友谊集团股份有限公司
000988,华工科技,华工科技产业股份有限公司
000989,九 芝 堂,九芝堂股份有限公司
000990,诚志股份,诚志股份有限公司
000992,中 鲁Ｂ,山东省中鲁远洋渔业股份有限公司
000993,闽东电力,福建闽东电力股份有限公司
000995,*ST皇台,甘肃皇台酒业股份有限公司
000996,中国中期,中国中期投资股份有限公司
000997,新 大 陆,福建新大陆电脑股份有限公司
000998,隆平高科,袁隆平农业高科技股份有限公司
000999,华润三九,华润三九医药股份有限公司
001696,宗申动力,重庆宗申动力机械股份有限公司
001896,豫能控股,河南豫能控股股份有限公司
001979,招商蛇口,招商局蛇口工业区控股股份有限公司
002001,新 和 成,浙江新和成股份有限公司
002002,鸿达兴业,鸿达兴业股份有限公司
002003,伟星股份,浙江伟星实业发展股份有限公司
002004,华邦健康,华邦生命健康股份有限公司
002005,德豪润达,广东德豪润达电气股份有限公司
002006,精功科技,浙江精功科技股份有限公司
002007,华兰生物,华兰生物工程股份有限公司
002008,大族激光,大族激光科技产业集团股份有限公司
002009,天奇股份,天奇自动化工程股份有限公司
002010,传化股份,浙江传化股份有限公司
002011,盾安环境,浙江盾安人工环境股份有限公司
002012,凯恩股份,浙江凯恩特种材料股份有限公司
002013,中航机电,中航工业机电系统股份有限公司
002014,永新股份,黄山永新股份有限公司
002015,霞客环保,江苏霞客环保色纺股份有限公司
002016,世荣兆业,广东世荣兆业股份有限公司
002017,东信和平,东信和平科技股份有限公司
002018,华信国际,安徽华信国际控股股份有限公司
002019,亿帆鑫富,亿帆鑫富药业股份有限公司
002020,京新药业,浙江京新药业股份有限公司
002021,中捷资源,中捷资源投资股份有限公司
002022,科华生物,上海科华生物工程股份有限公司
002023,海特高新,四川海特高新技术股份有限公司
002024,苏宁云商,苏宁云商集团股份有限公司
002025,航天电器,贵州航天电器股份有限公司
002026,山东威达,山东威达机械股份有限公司
002027,分众传媒,分众传媒信息技术股份有限公司
002028,思源电气,思源电气股份有限公司
002029,七 匹 狼,福建七匹狼实业股份有限公司
002030,达安基因,中山大学达安基因股份有限公司
002031,巨轮智能,巨轮智能装备股份有限公司
002032,苏 泊 尔,浙江苏泊尔股份有限公司
002033,丽江旅游,丽江玉龙旅游股份有限公司
002034,美 欣 达,浙江美欣达印染集团股份有限公司
002035,华帝股份,华帝股份有限公司
002036,联创电子,联创电子科技股份有限公司
002037,久联发展,贵州久联民爆器材发展股份有限公司
002038,双鹭药业,北京双鹭药业股份有限公司
002039,黔源电力,贵州黔源电力股份有限公司
002040,南 京 港,南京港股份有限公司
002041,登海种业,山东登海种业股份有限公司
002042,华孚色纺,华孚色纺股份有限公司
002043,兔 宝 宝,德华兔宝宝装饰新材股份有限公司
002044,美年健康,美年大健康产业控股股份有限公司
002045,国光电器,国光电器股份有限公司
002046,轴研科技,洛阳轴研科技股份有限公司
002047,宝鹰股份,深圳市宝鹰建设控股集团股份有限公司
002048,宁波华翔,宁波华翔电子股份有限公司
002049,紫光国芯,紫光国芯股份有限公司
002050,三花股份,浙江三花股份有限公司
002051,中工国际,中工国际工程股份有限公司
002052,同洲电子,深圳市同洲电子股份有限公司
002053,云南盐化,云南盐化股份有限公司
002054,德美化工,广东德美精细化工股份有限公司
002055,得润电子,深圳市得润电子股份有限公司
002056,横店东磁,横店集团东磁股份有限公司
002057,中钢天源,中钢集团安徽天源科技股份有限公司
002058,威 尔 泰,上海威尔泰工业自动化股份有限公司
002059,云南旅游,云南旅游股份有限公司
002060,粤 水 电,广东水电二局股份有限公司
002061,*ST江化,浙江江山化工股份有限公司
002062,宏润建设,宏润建设集团股份有限公司
002063,远光软件,远光软件股份有限公司
002064,华峰氨纶,浙江华峰氨纶股份有限公司
002065,东华软件,东华软件股份公司
002066,瑞泰科技,瑞泰科技股份有限公司
002067,景兴纸业,浙江景兴纸业股份有限公司
002068,黑猫股份,江西黑猫炭黑股份有限公司
002069,*ST獐岛,獐子岛集团股份有限公司
002070,众和股份,福建众和股份有限公司
002071,长城影视,长城影视股份有限公司
002072,凯瑞德,凯瑞德控股股份有限公司
002073,软控股份,软控股份有限公司
002074,国轩高科,国轩高科股份有限公司
002075,沙钢股份,江苏沙钢股份有限公司
002076,雪 莱 特,广东雪莱特光电科技股份有限公司
002077,大港股份,江苏大港股份有限公司
002078,太阳纸业,山东太阳纸业股份有限公司
002079,苏州固锝,苏州固锝电子股份有限公司
002080,中材科技,中材科技股份有限公司
002081,金 螳 螂,苏州金螳螂建筑装饰股份有限公司
002082,栋梁新材,浙江栋梁新材股份有限公司
002083,孚日股份,孚日集团股份有限公司
002084,海鸥卫浴,广州海鸥卫浴用品股份有限公司
002085,万丰奥威,浙江万丰奥威汽轮股份有限公司
002086,东方海洋,山东东方海洋科技股份有限公司
002087,新野纺织,河南新野纺织股份有限公司
002088,鲁阳节能,山东鲁阳节能材料股份有限公司
002089,新 海 宜,苏州新海宜通信科技股份有限公司
002090,金智科技,江苏金智科技股份有限公司
002091,江苏国泰,江苏国泰国际集团国贸股份有限公司
002092,中泰化学,新疆中泰化学股份有限公司
002093,国脉科技,国脉科技股份有限公司
002094,青岛金王,青岛金王应用化学股份有限公司
002095,生 意 宝,浙江网盛生意宝股份有限公司
002096,南岭民爆,湖南南岭民用爆破器材股份有限公司
002097,山河智能,山河智能装备股份有限公司
002098,浔兴股份,福建浔兴拉链科技股份有限公司
002099,海翔药业,浙江海翔药业股份有限公司
002100,天康生物,天康生物股份有限公司
002101,广东鸿图,广东鸿图科技股份有限公司
002102,冠福股份,冠福控股股份有限公司
002103,广博股份,广博集团股份有限公司
002104,恒宝股份,恒宝股份有限公司
002105,信隆实业,深圳信隆实业股份有限公司
002106,莱宝高科,深圳莱宝高科技股份有限公司
002107,沃华医药,山东沃华医药科技股份有限公司
